Nama_Obat,Zat_Aktif
ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE
CAPECITABINE,CAPECITABINE
IMATINIB MESILATE,IMATINIB MESILATE
DOXORUBICIN HCL,DOXORUBICIN HYDROCHLORIDE
OBAGI NU-DERM CLEAR,HYDROQUINONE
INSTO REGULAR,TETRAHYDROZOLINE HYDROCHLORIDE
INSTO DRY EYES,HYPROMELLOSE
OSKADRYL BATUK EXTRA,GUAIFENESIN
OSKADRYL BATUK EXTRA,CHLORPHENAMINE MALEATE
OSKADRYL BATUK EXTRA,DIPHENHYDRAMINE HYDROCHLORIDE
OSKADRYL BATUK EXTRA,PHENYLEPHRINE HYDROCHLORIDE
OSKADRYL BATUK EXTRA RASA PEPPERMINT,DIPHENHYDRAMINE HYDROCHLORIDE
OSKADRYL BATUK EXTRA RASA PEPPERMINT,PHENYLEPHRINE HYDROCHLORIDE
OSKADRYL BATUK EXTRA RASA PEPPERMINT,GUAIFENESIN
OSKADRYL BATUK EXTRA RASA PEPPERMINT,CHLORPHENAMINE MALEATE
CONTREXYN DEMAM FORTE,PARACETAMOL
SCANTAREN 50,DICLOFENAC SODIUM
OSKADRYL EXTRA,CHLORPHENAMINE MALEATE
OSKADRYL EXTRA,PHENYLEPHRINE HYDROCHLORIDE
OSKADRYL EXTRA,DEXTROMETHORPHAN HYDROBROMIDE
OSKADRYL EXTRA,GUAIFENESIN
OSKADRYL PE,DEXTROMETHORPHAN HYDROBROMIDE
OSKADRYL PE,PHENYLEPHRINE HYDROCHLORIDE
OSKADRYL NC,NOSCAPINE
OSKADRYL NC,PHENYLEPHRINE HYDROCHLORIDE
CONTREX PILEK ALERGI,DIPHENHYDRAMINE HYDROCHLORIDE
CONTREX PILEK ALERGI,PHENYLEPHRINE HYDROCHLORIDE
TRALGI,MEBHYDROLIN NAPADISILATE
DOLOFEN-F,IBUPROFEN
DOLOFEN F,IBUPROFEN
LORSON,DEXCHLORPHENIRAMINE MALEATE
LORSON,DEXAMETHASONE
CONTREXYN DEMAM (RASA JERUK),PARACETAMOL
OSKADON SP,IBUPROFEN
OSKADON SP,PARACETAMOL
CONTREXYN,ACETYLSALICYLIC ACID
